ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
SODA SCONES,United Kingdom,BROWNINGS THE BAKERS LTD,0,Art.11(2),violation of standard of use (use of potassium sorbate in other than target food),tokyo,DE CIMA JAPAN K.K.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-10
Mix spice：MELANGE DE POIVRE,France,OLIVIERS & CO.,0,Art.6(ⅱ),"aflatoxin (mycotoxin)　12 μg/kg　（B1: 10.7, B2: 1.2 ) detected",tokyo,"NICHIFUTSU SHOJI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
LE GIA FISH SAUCE,Vietnam,CONG TY TNHH THUC PHAM & TMDV LE GIA,0,Art.10,undesignated additive (cyclamic acid 16 μg/g detection),yokohama,BETOHASU LLC,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN PEELED GREEN SOYA BEAN,China,"LONG HAI YI DE INDUSTRY & TRADE CO.,LTD.",0,Art.11(2),violation of compositional standard (E.coli positive),fukuoka,"NISHIHARA SHOKAI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Quinoa,Peru,0,AGRO FERGI S.A.C.,Art.11(2),violation of compositional standard (fipronil 0.004 ppm detection),yokohama,MARUICHI CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-10
Popcorn,U.S.A.,0,GOLDEN LINK INC.,Art.11(2),violation of compositional standard (deltamethrin and tralomethrin 0.13 ppm detection),tokyo,OZAX CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Peanuts,Brazil,0,SHIROSAWA CO.SAIC,Art.6(ⅱ),"aflatoxin (mycotoxin)　17 μg/kg　（B1: 15.5, B2: 1.4 ) detected",fukuoka,"YOSHIDAGO CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-10
Frozen food served after heating(those heated immediately before freezing):SUMIBI YTR BL +NEGI,China,"LIAONING YINGDE FOODS GROUP CO.,LTD.",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),kobe 2nd section,JAPAN FOOD CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-10
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN CHINGENSAI,China,"QINGDAO JILONG AGRICULTURAL PRODUCTS CO.,LTD",0,Art.11(2),violation of compositional standard（live bacteria count  4.3×10⁶ /g）,tokyo,FAITH CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Chilled beef（BUTT TENDERLOIN ）,U.S.A.,0,TREX CORP INC,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,kawasaki,"NORLAKE INTERNATIONAL CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
"SPROUTED COCKTAIL BLEND,SALTED",U.S.A.,"LIVING INTENTIONS,LLC.",0,Art.6(ⅱ),"aflatoxin (mycotoxin)　15 μg/kg　（B1: 13.8, B2: 1.4) detected",fukuoka,"GLORY TRADING CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-31
Frozen fresh fish and shellfish for raw consumption:FROZEN YELLOWFIN TUNA BELLY BONE,China,"SHANDONG LANRUN AQUATIC CO.,LTD.",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),shimizu,"HIROICHI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
IRVINS SALTED EGG CASSAVA CHIPS,Singapore,COCOBA PTE LTD,0,Art.6(ⅱ),cyanide 54 mg/kg detection,tokyo,"COCOBA JAPAN CO., LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-31
IRVINS SALTED EGG CASSAVA CHIPS,Singapore,COCOBA PTE LTD,0,Art.6(ⅱ),cyanide 56 mg/kg detection,tokyo,"COCOBA JAPAN CO., LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-31
HOT BOOM SALTED EGG CASSAVA CHIPS,Singapore,COCOBA PTE LTD,0,Art.6(ⅱ),cyanide 45 mg/kg detection,tokyo,"COCOBA JAPAN CO., LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-31
HOT BOOM SALTED EGG CASSAVA CHIPS,Singapore,COCOBA PTE LTD,0,Art.6(ⅱ),cyanide 41 mg/kg detection,tokyo,"COCOBA JAPAN CO., LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-31
Corn,U.S.A.,0,"TOYOTA TSUSHO AMERICA, INC.",Art.6(ⅱ),"aflatoxin (mycotoxin)　14 μg/kg　（B1: 7.7, G1: 6.2) detected",shimizu,TOYOTA TSUSHO CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Corn,U.S.A.,0,"CFSIT, INC.",Art.6(ⅰ),"generation of mold, solidification and nasty smell",tokyo,CARGILL JAPAN LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Corn,U.S.A.,0,"CFSIT, INC.",Art.6(ⅰ),"generation of mold, solidification and nasty smell",tokyo,CARGILL JAPAN LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Milled rice,U.S.A.,0,"ADM RICE,INC.",Art.6(ⅰ),"generation of mold, solidification and nasty smell",otaru,MARUBENI CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Wheat,Australia,0,RIVERINA ( AUSTRALIA ) PTY LTD,Art.6(ⅰ),"generation of mold, solidification and nasty smell",chiba,MITSUBISHI CORPORATION (GENERAL DECLARATION),,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Frozen food served without heating:BOILED SNOW CRAB FLAKE,China,"YANTAI FUBAO FOODSTUFFS CO.,LTD",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),kobe,"KANEDAI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
NUTMEG,Indonesia,C.V.INDOPRIMA,0,Art.6(ⅱ),"aflatoxin (mycotoxin)　29 μg/kg　（B1: 27.5, B2: 1.2) detected",kawasaki,HOEI KOGYO COMPANY LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-31
Frozen food served without heating:Frozen crab,China,"RIZHAO RIRONG AQUATIC PRODUCTS & FOODS CO.,LTD.",0,Art.11(2),violation of standard of use ( SO₂ 0.037 g/kg detection),tokyo,ROYAL GREENLAND JAPAN LTD.,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
Heated meat products (heat-pasteurized after packed in container-packages):FROZEN COOKED CHICKEN STEAMED,China,"(3700/03371)SHANDONG RIYING FOOD CO.,LTD.",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),tokyo 2nd section,CRESTRADE CO.LTD.,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
Pickles（PICKLED GHERKINS 200GR),Italy,PECK S.P.A.,0,Art.11(2),violation of standard of use (SO₂ 0.060 g/kg detection),yokohama,"TAKASHIMAYA CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
FROZEN RED CHILLI,Vietnam,0,SMRRT ASIAN TRADING CORPORATION,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (propiconazole 0.05 ppm detection)",nagoya,WS COMPANY CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-31
FROZEN GREEN CHILLI,Vietnam,0,SMRRT ASIAN TRADING CORPORATION,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (propiconazole 0.06 ppm detection)",nagoya,WS COMPANY CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-31
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN BREADED SARDINE,China,"RONGCHENG JIARONG FOOD CO.,LTD.",0,Art.11(2),violation of compositional standard（live bacteria count  1.4×107 /g）,fukuoka,"EZAKI SHOWTEN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
CURRY POWDER,India,RAMDEV FOOD PRODUCTS PVT. LTD.,0,Art.6(ⅱ),"aflatoxin (mycotoxin)　①15 μg/kg　（B1: 13.4, B2: 1.2) ②14 μg/kg　（B1: 13.2, B2: 1.2 ) detected",kobe,SARTAJ CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
FRESH GREEN ONION,China,0,"ANQIU TOYO TRADING CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (Pyriproxyfen 0.06 ppm detection)",tokyo,"SHANGHAI KOYO FOOD CO.,LTD.",,the whole quantity has been sold,monitoring inspection,2019-10-31
Chocolate ( PYRAMIDS BOX),Italy,T'A MILANO S.R.L.,0,Art.11(2),violation of standard of use (use of Iron Sesquioxide in other than target food),narita airport,"RITASA TRADING CO., LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Chocolate (STARDUST ASSORTED DRAGEES),Italy,T'A MILANO S.R.L.,0,Art.11(2),violation of standard of use (use of Iron Sesquioxide in other than target food),narita airport,"RITASA TRADING CO., LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-31
Frozen food served after heating(those heated immediately before freezing):roasted eel with sause,China,"JIANGXI WANCUNQUAN FOOD CO.,LTD.",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),tokyo,I.K.FOODS CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-31
Health food：BILBERRY EXTRACT,"U.S.A.
(blueberry origin: Finland)","KDN-VITA INTERNATIONAL, INC.",,Art.11(2),violation of compositional standard (radioactive substance (Cs)  190 Bq/kg detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Almonds,U.S.A.,,"TOSHOKU AMERICA, INC",Art.6(ⅱ),aflatoxin (mycotoxin) 12 μg/kg　（B1:11.9 ) detected,kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
Almonds,U.S.A.,,"TRAVAILLE & PHIPPEN, INC",Art.6(ⅱ),"aflatoxin (mycotoxin) 43 μg/kg　（B1:11.3, B2:1.1, G1:27.3, G2:3.1) detected",kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
Implements(ceramics): BAKJE ROND,Mexico,SANTA JET,,Art.18(2),non-conformity with standard for materials（lead 4 μg/ml detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Implements(ceramics): BAKJE ROND,Mexico,SANTA JET,,Art.18(2),non-conformity with standard for materials（lead 9 μg/ml detection),kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-07
Pistachio nuts,U.S.A.,,"ANA TRADING CORP.,U.S.A.",Art.6(ⅱ),"aflatoxin (mycotoxin) 11 μg/kg　（B1:10.6, B2:0.6) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
PURE DELITE REFINED PEANUTS OIL,India,RECON OIL INDUSTRIES PRIVATE LIMITED,,Art.10,undesignated additive (use of TBHQ),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-07
Peanuts,China,,"WEIHAI SHENGTAIYUAN FOODSTUFF CO.,LTD",Art.6(ⅱ),"aflatoxin (mycotoxin) 19 μg/kg　（B1:2.7, G1:13.5, G2:2.5) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-07
Frozen food served without heating：FROZEN COOKED PD VANNAMEI IQF,Vietnam,UTXI AQUATIC PRODUCTS PROCESSING CORPORATION,,Art.11(2),violation of compositional standard (enrofloxacin 0.11 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-13
Frozen food served without heating：FROZEN PEANUT,China,"DONGHAI FROZEN FOODS CO., LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-13
Frozen food served without heating：FROZEN DURIAN,Thailand,"CANAAN ENTERPRISE GROUP CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),narita airport,,,we directed abandonment or return of the cargo (under investigation),monitoring inspection,2018-02-13
Frozen fresh fish and shellfish for raw consumption：SALMON CUT OFF,Vietnam,COASTAL FISHERIES DEVELOPMENT CORP.,,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-13
Roasted flaxseed,Taiwan,"SHYONG TIING INDUSTRY CO.,LTD.",,Art.6(ⅱ),cyanide 160 mg/kg detection,fukuoka airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-13
Implements (melamine)：CUP,China,DOUNGGUAN QIAOTOU FUPIEN MELAMINE TABLEWARE MANUFACTURERS,,Art.18(2),non-conformity with  standard for materials （evaporation residual substance （4% acetic acid) 180 μg/ml）,osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-13
Implements (melamine)：CUP（ORANGE）,China,DOUNGGUAN QIAOTOU FUPIEN MELAMINE TABLEWARE MANUFACTURERS,,Art.18(2),non-conformity with  standard for materials （evaporation residual substance （4% acetic acid) 31 μg/ml）,osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-13
Implements (melamine)：CUP（YELLOW）,China,DOUNGGUAN QIAOTOU FUPIEN MELAMINE TABLEWARE MANUFACTURERS,,Art.18(2),non-conformity with  standard for materials （evaporation residual substance （4% acetic acid) 100 μg/ml）,osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-13
Frozen food served after heating(those heated immediately before freezing)：FRIED FISH CAKE,Malaysia,FISHERGOLD FOOD INDUSTRIES SDN BHD,,Art.11(2),violation of compositional standard (coliform bacteria positive),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-13
CALENDULA PETALS,Italy(origin: Egypt),DEMAR DI PESARE & C. SRL,,Art.11(2),violation of compositional standard (chlorpyrifos 0.02 ppm detection),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-13
Implements(rubber): BASE O-RING,United Kingdom,ICON LIFESAVER LTD,,Art.18(2),non-conformity with standard for materials (zinc),fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-13
DRIED FIG PASTE SEEDY,Turkey,NATURA KURU MEYVE SAN. VE. TIC A.S.,,Art.6(ⅱ),"aflatoxin (mycotoxin) 26 μg/kg　（B1:22.4, B2:3.1) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-13
Almonds,U.S.A.,,"TOYOTA TSUSHO AMERICA, INC.",Art.6(ⅱ),"aflatoxin (mycotoxin) 44 μg/kg　（B1:39.0, B2:5.2) detected",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-13
MALA PEANUTS,China,"JINAN BRANCH OF YANTAI SHINHO ENTERPRISE FOODS CO.,LTD.",,Art.6(ⅱ),"aflatoxin (mycotoxin) 31 μg/kg　（B1:6.3, G1:21.0, G2:3.8)detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-19
Frozen food served after heating(those heated immediately before freezing)：GREEN BABY HAUKAU,Vietnam,GN FOODS JOINT STOCK COMPANY,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
Implements：WOODEN KNIFE,China,"FUZHOU YU JIN YUAN ARTS & CRAFTS CO.,LTD.",,Art.18(2),"non-conformity with standard for materials（lead 1,166 μg/g detection)",kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
Fresh chia seeds,Peru,,GRANOS ANDINOS DEL PERU S.A.,Art.11(2),violation of compositional standard (haloxyfop 0.2 ppm detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-19
POTATO CHIPS YOGURT FLAVOR,Korea,"COSMOS CONFECTIONERY CO.,LTD.",,Art.10,undesignated additive (TBHQ 2 μg/g detection),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
POTATO CHIPS COLA FLAVOR,Korea,"COSMOS CONFECTIONERY CO.,LTD.",,Art.10,undesignated additive (TBHQ 3 μg/g detection),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
Drink beverages：MARINA ESPUMANTE ZERO NON-ALCOHOL）,Spain,BOCOPA,,Art.11(2),"violation of standard of use (potassium sorbate (as sorbic acid)  0.09 /kg detection, use of  potassium sorbate in other than target food , SO₂ 0.052 g/kg detection)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
Frozen food served without heating：FROZEN ROASTED EEL,China,"SHUNDE CITY YANG SEI SEAFOODS CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
Non-heating edible meat product：COPPA,Italy,SALUMIFICIO FRATELLI BERETTA SPA,,Art.11(2),violation of compositional standard (Listeria monocytogenes 210 /g),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-19
Container packing filling pressurization heating sterilization food：BOILED SOYBEAN,China,"RONGCHENG CHUANGWEI FOODS CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
SHAANDAAR MOUTH FRESHNER,India,SSG PHARMA PVT.LTD.,,Art.10,undesignated additive (azorubine detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
GULAB-E-KHAAS MOUTH FRESHNER,India,SSG PHARMA PVT.LTD.,,Art.10,undesignated additive (azorubine detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
CHILLY POWDER,India,SHUBH ENTERPRISES,,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (triazophos 0.04 ppm　detection)",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-19
Frozen food served after heating(other than those heated immediately before freezing)：FROZEN SUGAR SNAP PEAS）,China,"CIXI YINGLONG FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (E.coli positive),otaru,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-19
Pistachio nuts,U.S.A.,,SKY PACIFIC LIMITED.,Art.6(ⅱ),"aflatoxin (mycotoxin) 23 μg/kg　（B1:21.3, B2:1.3) detected",osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-02-19
CUMIN SEEDS,India,P.C. KANNAN & CO.,,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (iprobenfos 0.08 ppm　detection)",tokyo,,,we directed abandonment or return of the cargo (under investigation),monitoring inspection,2018-02-19
Natural cheese (semi-hard)：BRIE PATURAGES,France,SASU PATURAGES COMTOIS - PATURAGES COMTOIS,,Art.11(2),"violation of compositional standard (Listeria monocytogenes 3100 /g, 270 /g）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-23
Fresh cacao beans,Venezuela,,CACAO SAN JOSE CA,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.03 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-23
Fresh cacao beans,Venezuela,,CACAO SAN JOSE CA,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.02 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-23
DRIED FIGS,U.S.A.,"SAN JOAQUIN FIGS, INC.",,Art.6(ⅱ),"aflatoxin (mycotoxin) 21 μg/kg　（B1:11.7 , B2:1.3 , G1:7.7) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-23
CHINESE CHILLI CROP,China,"TANGSHAN HUACHENG FOOD CO., LTD.",,Art.6(ⅱ),"aflatoxin (mycotoxin)  25 μg/kg　（B1:23.5 , B2:1.5) detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-23
Animal toys: Marine Friends,China,CHENGFEI TOY FACTORY,,18(2) (correspondingly by 62(1)),violation of standards for general component materials(bis (2-ethylhexyl) phthalate and di-n-butyl phthalate),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-23
Almonds,U.S.A.,,"FRESH PACIFIC FRUIT & VEGETABLES, INC.",Art.6(ⅱ),"aflatoxin (mycotoxin)  20 μg/kg　（B1:19.0 , B2:1.2) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-23
